Name,Description,SKU,Gender, Attribute 1,Attribute 1 Value, Attribute 2,Attribute 2 Value, Attribute 3,Attribute 3 Value,Base Image 1 ,Base Image 2,Base Image 3,Base Image 4,Base Image 5,Base Price(USD),Sale Price(USD),Quantity,Unit of Weight,Weight,Unit of Dimensions,Height,Width,Length,SEO Title,SEO Description,Vendor,Parent SKU
Freeze X-Strong AW,"<p>Dürfen wir vorstellen: VELO Freeze X-Strong. Hier werden prickelnde Pfefferminze und eiskaltes Menthol zu einem intensiven Geschmackserlebnis. Im SLIM Format &amp; mittlerer Nikotinintensität.</p>
<p><span>EPOK, LYFT oder VELO? </span><span>Weitere Informationen dazu findest Du in </span><a href=""https://snushus.ch/blogs/snusbuch/was-ist-all-white-snus"" target=""_blank"">unserem Blog</a><span>.</span></p>",Freeze X-Strong AW,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0072/0646/9679/products/velo-freeze-x-strong-aw_a5a6c1fa-c069-4a16-b82d-80fe227b95c2.png,,,,,8.50,0.00,1,G,34800,IN,3,3,3,,,,
,,VL-4105-1,Unisex,Title,Default Title,,,,,,,,,,8.50,0.00,1,G,34800,IN,3,3,3,,,VELO (CH),Freeze X-Strong AW
Ice Cool Strong AW,"<p>Probiere VELO Ice Cool und erlebe den Geschmack von prickelnder Pfefferminze in Kombination mit dem süssen Aroma von Polei-Minze.</p>
<p><span>EPOK, LYFT oder VELO? </span><span>Weitere Informationen dazu findest Du in </span><a href=""https://snushus.ch/blogs/snusbuch/was-ist-all-white-snus"" target=""_blank"">unserem Blog</a><span>.</span></p>",Ice Cool Strong AW,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0072/0646/9679/products/velo-ice-cool-strong-aw.png,,,,,8.50,0.00,1,G,34800,IN,3,3,3,,,,
,,VL-3605-1,Unisex,Title,Default Title,,,,,,,,,,8.50,0.00,1,G,34800,IN,3,3,3,,,VELO (CH),Ice Cool Strong AW
Mint AW,"<p>Nimm dir einen Moment Zeit und geniesse die erfrischende Kombination aus süsser Minze und kühlem Menthol. Im SLIM Format &amp; leichter Nikotinintensität.</p>
<p><span>EPOK, LYFT oder VELO? </span><span>Weitere Informationen dazu findest Du in </span><a href=""https://snushus.ch/blogs/snusbuch/was-ist-all-white-snus"" target=""_blank"">unserem Blog</a><span>.</span></p>",Mint AW,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0072/0646/9679/products/velo-mint-aw.png,,,,,8.50,0.00,1,G,34800,IN,3,3,3,,,,
,,VL-3705-1,Unisex,Title,Default Title,,,,,,,,,,8.50,0.00,1,G,34800,IN,3,3,3,,,VELO (CH),Mint AW
Berry Frost X-Strong AW,"<p>VELO Berryfrost lässt Sommer und Winter aufeinandertreffen: Hier verschmilzt der Geschmack von saftigen Himbeeren, Blaubeeren und Brombeeren mit frischer Minze und eiskaltem Menthol. Im SLIM Format &amp; mittlerer Nikotinintensität.</p>
<p><span>EPOK, LYFT oder VELO? </span><span>Weitere Informationen dazu findest Du in </span><a href=""https://snushus.ch/blogs/snusbuch/was-ist-all-white-snus"" target=""_blank"">unserem Blog</a><span>.</span></p>",Berry Frost X-Strong AW,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0072/0646/9679/products/velo-berry-frost-x-strong-aw_66b72f9b-cb39-4be7-b93e-87ce1eb0121e.png,,,,,8.50,0.00,1,G,34800,IN,3,3,3,,,,
,,VL-4205-1,Unisex,Title,Default Title,,,,,,,,,,8.50,0.00,1,G,34800,IN,3,3,3,,,VELO (CH),Berry Frost X-Strong AW
X-Freeze Max AW,"<p>Dürfen wir vorstellen: VELO's stärkster Flavour X-Freeze Max. Hier werden prickelnde Pfefferminze und eiskaltes Menthol zu einem extrastarken Geschmackserlebnis.</p>
<p><span>EPOK, LYFT oder VELO? </span><span>Weitere Informationen dazu findest Du in </span><a href=""https://snushus.ch/blogs/snusbuch/was-ist-all-white-snus"" target=""_blank"">unserem Blog</a><span>.</span></p>",X-Freeze Max AW,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0072/0646/9679/products/velo-x-freeze-max-aw.png,,,,,8.50,0.00,1,G,41600,IN,3,3,3,,,,
,,VL-6105-1,Unisex,Title,Default Title,,,,,,,,,,8.50,0.00,1,G,41600,IN,3,3,3,,,VELO (CH),X-Freeze Max AW
